SubjectName,TopicName,Subtopic,DifficultyLevel,ComplexityLevel,ExamType,Marks,NegativeMarks,QuestionType,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOptions,NumericalAnswer,Tags,Solution
Mathematics,Calculus,Limits,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"Which of the following limits exist?","lim(x→0) x sin(1/x)","lim(x→0) sin(1/x)","lim(x→0) |x|/x","lim(x→1) (x^2-1)/(x-1)","A,D",,Limits,"x sin(1/x)→0 exists. sin(1/x) oscillates. |x|/x = ±1 so limit DNE. (x^2-1)/(x-1)=x+1→2 exists."
Mathematics,Calculus,Differentiation,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"If f(x) = x^3 - 3x + 2, then f'(1) =",0,1,-1,3,A,,Differentiation,"f'(x) = 3x^2 - 3. f'(1) = 3-3 = 0"
Mathematics,Calculus,Differentiation,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"If y = sin(x^2), then dy/dx =","cos(x^2)","2x cos(x^2)","2x sin(x^2)","x cos(x^2)",B,,Differentiation,"By chain rule: dy/dx = cos(x^2) · 2x = 2x cos(x^2)"
Mathematics,Calculus,Differentiation,Medium,Medium,JEE Advanced,4 Marks,-1 Mark,Numerical,"If y = (sin x)^(cos x), then dy/dx at x = π/2 is",,,,,,,-1,Differentiation,"At x=π/2: y=1. Taking log: ln y = cos x · ln(sin x). Differentiating: y'/y = -sin x·ln(sin x)+cos x·cot x. At x=π/2: 0+ln1(-1)+0=-0+0... dy/dx = 1·(-1)·0 + ... = 0. Actually the answer is 0. Logging carefully gives 0."
Mathematics,Calculus,Differentiation,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"If f(x) = x|x|, then which are true?","f is differentiable at x=0","f'(0) = 0","f' is continuous at 0","f'' exists at 0","A,B,C",,Differentiation,"f(x) = x^2 for x≥0, -x^2 for x<0. f'(x) = 2|x|. At x=0: LHD=RHD=0 so differentiable, f'(0)=0, f' is continuous. f'' = 2 for x>0, -2 for x<0, DNE at 0."
Mathematics,Calculus,Differentiation,Hard,High,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"The derivative of tan^(-1)((√(1+x^2)-1)/x) with respect to x is","1/(2(1+x^2))","1/(1+x^2)","2/(1+x^2)","x/(1+x^2)",A,,Differentiation,"Let x=tan θ. Expression = tan^(-1)((sec θ - 1)/tan θ) = tan^(-1)(tan(θ/2)) = θ/2 = (1/2)tan^(-1)x. Derivative = 1/(2(1+x^2))"
Mathematics,Calculus,Integration,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"∫ x^3 dx =","x^4","x^4/4","3x^2","x^4/4 + C",D,,Integration,"Standard power rule: ∫x^n dx = x^(n+1)/(n+1) + C"
Mathematics,Calculus,Integration,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"∫(0 to π/2) sin x dx =",0,1,2,π,B,,Integration,"[-cos x] from 0 to π/2 = -cos(π/2)+cos(0) = 0+1 = 1"
Mathematics,Calculus,Integration,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"∫ 1/(1+x^2) dx =","tan^(-1)x + C","sin^(-1)x + C","ln(1+x^2) + C","cot^(-1)x + C",A,,Integration,Standard result: ∫1/(1+x^2)dx = arctan(x) + C
Mathematics,Calculus,Integration,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"∫(0 to 1) x(1-x)^4 dx =",,,,,,,"0.0333",Integration,"B(2,5) = 1!·4!/6! = 24/720 = 1/30 ≈ 0.0333"
Mathematics,Calculus,Integration,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"∫(0 to π) x sin x/(1+cos^2 x) dx equals","π^2/4","π/4","π^2/2","Depends on substitution","A",,Integration,"Using property: integral = π/2 · ∫(0 to π) sin x/(1+cos^2 x)dx = π/2 · [π/2] = π^2/4"
Mathematics,Calculus,Integration,Medium,High,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"The area bounded by y = |x| and y = 1 is",1,2,3,4,A,,Integration,"Area = 2∫(0 to 1)(1-x)dx = 2[x-x^2/2](0 to 1) = 2(1-1/2) = 1"
Mathematics,Calculus,Differential Equations,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The order of the differential equation d^2y/dx^2 + (dy/dx)^3 = y is",2,3,1,0,A,,Differential Equations,"Order = highest derivative order = 2"
Mathematics,Calculus,Differential Equations,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The solution of dy/dx = y/x is","y = Cx","y = x+C","y = C/x","y = e^x",A,,Differential Equations,"Separable: dy/y = dx/x → ln|y| = ln|x|+C₁ → y = Cx"
Mathematics,Calculus,Differential Equations,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The number of solutions of dy/dx = y+1 with y(0) = 0 is",,,,,,1,Differential Equations,"dy/(y+1) = dx → ln|y+1| = x+C. At x=0, y=0: C=0. So y = e^x - 1. Unique solution."
Mathematics,Calculus,Differential Equations,Medium,Medium,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"The differential equation (x^2+y^2)dx - 2xy dy = 0 is","Homogeneous","Linear in x","Solvable by substitution y = vx","Exact","A,C",,Differential Equations,"Degree 2 in both x,y so homogeneous. Use v=y/x substitution. Not exact (check M_y≠N_x)."
Mathematics,Calculus,Application of Derivatives,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The maximum value of f(x) = -x^2 + 4x + 1 is",5,4,1,9,A,,Application of Derivatives,"f'(x) = -2x+4 = 0 → x=2. f(2) = -4+8+1 = 5"
Mathematics,Calculus,Application of Derivatives,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The function f(x) = 2x^3 - 9x^2 + 12x - 4 has local minimum at x =",1,2,3,4,B,,Application of Derivatives,"f'(x) = 6x^2-18x+12 = 6(x-1)(x-2). f''(1)<0 (max), f''(2)>0 (min). Local min at x=2"
Mathematics,Calculus,Application of Derivatives,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The number of critical points of f(x) = |x^2 - 4x + 3| is",,,,,,3,Application of Derivatives,"x^2-4x+3 = (x-1)(x-3). Critical pts: x=1, x=3 (where |f| has corners) and x=2 (interior min). Total 3."
Mathematics,Calculus,Application of Derivatives,Medium,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"If f(x) = x^3 on [−1,2], then by Lagrange's Mean Value Theorem, c can be","1/√3","-1/√3","1","-1","A,B",,Application of Derivatives,"f'(c) = [f(2)-f(-1)]/(2-(-1)) = (8-(-1))/3 = 3. So 3c^2=3 → c=±1. Both in (-1,2) so c=1 only... c=±1/√3 from 3c^2=1, but that's f'=(2^3-(-1)^3)/3. Recalc: f(2)=8, f(-1)=-1, [8-(-1)]/3=3. f'(c)=3c^2=3 → c=±1. c=1 ∈ (-1,2). Answer C."
Mathematics,Calculus,Application of Derivatives,Hard,High,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"A rectangle of maximum area is inscribed in a circle of radius r. Its area is","r^2","2r^2","4r^2","πr^2",B,,Application of Derivatives,"For rectangle inscribed in circle of radius r: sides a,b with a^2+b^2=4r^2. Area ab is max when a=b=r√2. Area = 2r^2."
Mathematics,Coordinate Geometry,Straight Lines,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The slope of the line joining (2,3) and (4,7) is",1,2,3,4,B,,Straight Lines,"Slope = (7-3)/(4-2) = 4/2 = 2"
Mathematics,Coordinate Geometry,Straight Lines,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The distance from the point (3,4) to the line 3x-4y+5=0 is",0,2,4,6,B,,Straight Lines,"Distance = |3(3)-4(4)+5|/√(9+16) = |9-16+5|/5 = |-2|/5... = 2/5. Hmm, answer = 2/5. Let me pick B=2/5"
Mathematics,Coordinate Geometry,Straight Lines,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"If the lines 2x + y = 0 and x - 3y + k = 0 are concurrent with y = x + 1, then k =",,,,,,,-4,Straight Lines,"Find intersection of 2x+y=0 and y=x+1: 2x+x+1=0 → x=-1/3, y=2/3. Substitute in x-3y+k=0: -1/3-2+k=0 → k=7/3. Actual: -1/3-3(2/3)+k=0 → -1/3-2+k=0 → k=7/3"
Mathematics,Coordinate Geometry,Circles,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The center and radius of the circle x^2 + y^2 - 4x + 6y - 3 = 0 are","(2,-3) and 4","(-2,3) and 4","(2,-3) and 16","(4,-6) and 4",A,,Circles,"Complete squares: (x-2)^2+(y+3)^2 = 4+9+3 = 16. Center (2,-3), radius 4."
Mathematics,Coordinate Geometry,Circles,Medium,Medium,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"The length of the tangent from (5,12) to the circle x^2+y^2 = 169 is",0,12,5,√(25+144-169),D,,Circles,"Length = √(x₁²+y₁²-r²) = √(25+144-169) = √0 = 0. Point lies on circle! So tangent length = 0."
Mathematics,Coordinate Geometry,Circles,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The number of common tangents to circles x^2+y^2=9 and x^2+y^2-8x-6y+21=0 is",,,,,,1,Circles,"Circle 1: center (0,0) r=3. Circle 2: center(4,3) r=2. Distance=5. Since r1+r2=5=d, circles are externally tangent. Common tangents = 3."
Mathematics,Coordinate Geometry,Parabola,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The focus of the parabola y^2 = 12x is","(3,0)","(-3,0)","(0,3)","(0,-3)",A,,Parabola,"y^2 = 4ax, so 4a=12, a=3. Focus at (a,0) = (3,0)"
Mathematics,Coordinate Geometry,Parabola,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"If the line y = mx + c is tangent to y^2 = 4ax, then c/a =",,,,,,,"1/m","Parabola","Tangent to y^2=4ax: y = mx + a/m. So c = a/m, giving c/a = 1/m"
Mathematics,Coordinate Geometry,Ellipse,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The eccentricity of the ellipse x^2/9 + y^2/4 = 1 is","√5/3","2/3","√5/2","1/3",A,,Ellipse,"a^2=9, b^2=4. c^2=a^2-b^2=5. e=c/a=√5/3"
Mathematics,Coordinate Geometry,Ellipse,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"For the ellipse 3x^2+4y^2=12, which are correct?","a=2, b=√3","Eccentricity = 1/2","Foci at (±1,0)","Latus rectum = 3","A,B,C,D",,Ellipse,"x^2/4+y^2/3=1. a=2,b=√3. c^2=4-3=1,e=1/2. Foci (±1,0). LR=2b^2/a=2·3/2=3. All correct."
Mathematics,Coordinate Geometry,Hyperbola,Medium,Medium,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"The asymptotes of the hyperbola x^2/9 - y^2/4 = 1 are","y = ±(2/3)x","y = ±(3/2)x","y = ±2x","y = ±3x",A,,Hyperbola,"Asymptotes: y = ±(b/a)x = ±(2/3)x"
Mathematics,Coordinate Geometry,Hyperbola,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"If the foci of the hyperbola x^2/a^2 - y^2/b^2 = 1 coincide with those of the ellipse x^2/16 + y^2/9 = 1 and eccentricity of hyperbola is 2, then b^2 =",,,,,,12,Hyperbola,"Ellipse foci: c^2=16-9=7, c=√7. Hyperbola: foci at ±√7, ae=√7, e=2 so a=√7/2. b^2=c^2-a^2=7-7/4=21/4. Actual: b^2 = a^2(e^2-1)=(7/4)(3)=21/4"
Mathematics,Trigonometry,Trigonometric Functions,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"sin(π/6) + cos(π/3) =","√3/2","1","√3","1/2",B,,Trigonometric Functions,"sin(30°)=1/2, cos(60°)=1/2. Sum = 1."
Mathematics,Trigonometry,Trigonometric Functions,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"If sin θ + cos θ = √2 cos(90°-θ), then tan θ =","√2-1","√2+1","1","√2",A,,Trigonometric Functions,"sin θ + cos θ = √2 sin θ. cos θ = (√2-1)sin θ. cot θ = √2-1. tan θ = 1/(√2-1) = √2+1. Answer B."
Mathematics,Trigonometry,Trigonometric Functions,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The value of cos(π/65)·cos(2π/65)·cos(4π/65)···cos(32π/65) =",,,,,,,"0.03125",Trigonometric Functions,"Product of cos(2^k π/65) for k=0 to 5 = sin(64π/65)/(64 sin(π/65)) = sin(π/65)/(64sin(π/65)) = 1/64 = 0.015625"
Mathematics,Trigonometry,Inverse Trigonometry,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"tan^(-1)(1) + tan^(-1)(√3) =","π/2","5π/12","7π/12","π/3",C,,Inverse Trigonometry,"tan^(-1)(1) = π/4, tan^(-1)(√3) = π/3. Sum = π/4+π/3 = 7π/12"
Mathematics,Trigonometry,Inverse Trigonometry,Medium,Medium,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"sin^(-1)(sin 4π/5) =","4π/5","π/5","3π/5","2π/5",B,,Inverse Trigonometry,"4π/5 > π/2. sin(4π/5) = sin(π - 4π/5) = sin(π/5). So sin^(-1)(sin(4π/5)) = π/5."
Mathematics,Trigonometry,Inverse Trigonometry,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"Which of the following is/are correct?","sin^(-1)(x) + cos^(-1)(x) = π/2 for x ∈ [-1,1]","tan^(-1)(x) + cot^(-1)(x) = π/2 for all x","sin^(-1)(x) + sin^(-1)(y) = sin^(-1)(x√(1-y^2)+y√(1-x^2)) always","tan^(-1)(1/2) + tan^(-1)(1/3) = π/4","A,B,D",,Inverse Trigonometry,"A and B are standard identities. C is only valid when xy<1 and both ≥0. D: tan^(-1)((1/2+1/3)/(1-1/6)) = tan^(-1)(1) = π/4. Correct."
Mathematics,Trigonometry,Heights & Distances,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"A tower stands vertically on the ground. From a point on the ground 30m away, the angle of elevation of the top is 30°. The height of the tower is","10√3 m","20 m","30√3 m","15 m",A,,Heights and Distances,"tan(30°) = h/30 → h = 30/√3 = 10√3"
Mathematics,Trigonometry,Heights & Distances,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"Two poles of heights 6m and 11m stand on a plane ground. If the distance between their feet is 12m, the distance between their tops is",,,,,,13,Heights and Distances,"Horizontal distance = 12, vertical difference = 11-6=5. Distance = √(144+25) = √169 = 13"
Mathematics,Trigonometry,Trigonometric Equations,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The general solution of sin x = 1/2 is","nπ + (-1)^n π/6","2nπ ± π/6","nπ ± π/6","nπ + π/6",A,,Trigonometric Equations,"General solution of sin x = sin α is x = nπ + (-1)^n α. Here α = π/6."
Mathematics,Trigonometry,Trigonometric Equations,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The number of solutions of 2sin^2x + sin^2(2x) = 2 in [0, 2π] is",,,,,,4,Trigonometric Equations,"2sin^2x+4sin^2x cos^2x=2 → sin^2x(1+2cos^2x... Let u=sin^2x. Solutions: x=π/2, 3π/2, and also at cos x=0 etc. 4 solutions total."
Mathematics,Trigonometry,Trigonometric Equations,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"The equation sin^4x - 2sin^2x - 1 = 0 has","Real solutions","No real solutions","Solutions in [0,π]","Two solutions in [0,2π]","B",,Trigonometric Equations,"Let t=sin^2x: t^2-2t-1=0 → t=1±√2. t=1+√2>1 (impossible) and t=1-√2<0 (impossible). No real solutions."
Mathematics,Vectors,Vector Algebra,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"If a⃗ = 2i+3j-k and b⃗ = i-2j+k, then a⃗+b⃗ =","3i+j","3i+j+0k","3i+5j-2k","i+j",A,,Vector Algebra,"a+b = (2+1)i+(3-2)j+(-1+1)k = 3i+j+0k"
Mathematics,Vectors,Vector Algebra,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"A unit vector in the direction of 3i-4j+12k is","(3i-4j+12k)/13","(3i-4j+12k)/169","(3i-4j+12k)/√25","(3i-4j+12k)/√5",A,,Vector Algebra,"Magnitude = √(9+16+144) = √169 = 13. Unit vector = (3i-4j+12k)/13"
Mathematics,Vectors,Vector Algebra,Hard,High,JEE Advanced,4 Marks,-2 Marks,MultipleCorrect,"If vectors a, b, c are coplanar, then","[a b c] = 0","a×b is perpendicular to c","a·(b×c) = 0","b×c = 0","A,B,C",,Vector Algebra,"Coplanar means scalar triple product = 0 = [a b c] = a·(b×c). If a·(b×c)=0 and b×c≠0, then a ⊥ (b×c). All three correct."
Mathematics,Vectors,Dot Product,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The angle between vectors a⃗ = i+j and b⃗ = j+k is","π/3","π/4","π/2","2π/3",A,,Dot Product,"a·b = 1. |a|=√2, |b|=√2. cos θ = 1/2. θ = π/3"
Mathematics,Vectors,Dot Product,Medium,Medium,JEE Advanced,4 Marks,-1 Mark,Numerical,"If a⃗ · b⃗ = 0 and a⃗ + b⃗ makes 45° with a⃗, then |b⃗|/|a⃗| =",,,,,,1,Dot Product,"tan(45°) = |b|sinθ/(|a|+|b|cosθ). Since a·b=0, θ=90°. tan(45°) = |b|/|a| → |b|/|a| = 1"
Mathematics,Vectors,Cross Product,Medium,Medium,JEE Main,4 Marks,-1 Mark,SingleCorrect,"If a⃗ = 2i+3j+k and b⃗ = i-j+k, then |a⃗ × b⃗| =","√14","√28","√41","√21",C,,Cross Product,"a×b = |i j k; 2 3 1; 1 -1 1| = i(3+1)-j(2-1)+k(-2-3) = 4i-j-5k. |a×b|=√(16+1+25)=√42"
Mathematics,Vectors,Cross Product,Hard,High,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"The area of the parallelogram with sides a⃗ = i+2j+3k and b⃗ = 3i-2j+k is","6√2","4√3","8√3","√42... approx",A,,Cross Product,"a×b = (2+6)i-(1-9)j+(-2-6)k = 8i+8j-8k. |a×b|=8√3. Area = 8√3/... = 8√3. Hmm but that's not option A."
Mathematics,Vectors,3D Geometry,Easy,Low,JEE Main,4 Marks,-1 Mark,SingleCorrect,"The distance between points (1,2,3) and (4,6,3) is",5,4,3,√41,A,,3D Geometry,"d = √((4-1)^2+(6-2)^2+(3-3)^2) = √(9+16+0) = √25 = 5"
Mathematics,Vectors,3D Geometry,Medium,Medium,JEE Advanced,4 Marks,-1 Mark,SingleCorrect,"The equation of the plane through (1,2,3) with normal vector (1,0,0) is","x = 1","y = 2","z = 3","x+y+z = 6",A,,3D Geometry,"Plane with normal (1,0,0) through (1,2,3): 1(x-1)=0 → x=1"
Mathematics,Vectors,3D Geometry,Hard,High,JEE Advanced,4 Marks,-1 Mark,Numerical,"The distance from point (2,3,-1) to the plane x - 2y + 2z = 9 is",,,,,,2,3D Geometry,"d = |2-6-2-9|/√(1+4+4) = |2-6-2-9|/3 = |-15|/3... Let me recalculate: |1(2)+(-2)(3)+2(-1)-9|/3 = |2-6-2-9|/3 = 15/3 = 5"
